file,origin,attempt_id,sentence_id,duration_s,rms_dbfs,clip_ratio,active_ratio,sec_per_syl,flags,flags_dup_of,verdict
att_20260705_173232_934903_s9.mp3,synth,323,9,2.69,-20.6,0.0,0.62,0.384,,,pass
att_20260705_173235_598088_s10.mp3,synth,324,10,2.26,-24.1,0.0,0.55,0.452,,,pass
att_20260705_173238_439125_s10.mp3,synth,325,10,2.45,-24.0,0.0,0.5,0.49,,,pass
att_20260705_173240_966555_s10.mp3,synth,326,10,2.16,-24.4,0.0,0.6,0.432,,,pass
att_20260705_173243_587029_s11.mp3,synth,327,11,2.28,-17.9,0.0,0.73,0.285,,,pass
att_20260705_173246_247871_s11.mp3,synth,328,11,2.76,-17.9,0.0,0.62,0.345,,,pass
att_20260705_173248_901051_s11.mp3,synth,329,11,2.74,-18.6,0.0,0.62,0.343,,,pass
att_20260705_173251_745738_s12.mp3,synth,330,12,2.42,-18.5,0.0,0.58,0.269,,,pass
att_20260705_173254_976856_s12.mp3,synth,331,12,2.86,-18.1,0.0,0.57,0.318,,,pass
att_20260705_173258_006537_s12.mp3,synth,332,12,2.4,-18.7,0.0,0.58,0.267,,,pass
att_20260705_173300_965105_s13.mp3,synth,333,13,2.3,-19.9,0.0,0.73,0.329,,,pass
att_20260705_173304_134686_s13.mp3,synth,334,13,2.42,-20.2,0.0,0.58,0.346,,,pass
att_20260705_173307_146778_s13.mp3,synth,335,13,2.52,-20.0,0.0,0.58,0.36,duplicate_exact,att_20260704_223841_612007_s13.mp3,fail
att_20260705_173309_921237_s14.mp3,synth,336,14,2.83,-18.2,0.0,0.64,0.283,,,pass
att_20260705_173313_069184_s14.mp3,synth,337,14,2.59,-18.6,0.0,0.67,0.259,,,pass
att_20260705_173316_457045_s14.mp3,synth,338,14,2.83,-18.2,0.0,0.64,0.283,,,pass
att_20260705_173319_302959_s15.mp3,synth,339,15,2.74,-19.1,0.0,0.62,0.343,,,pass
att_20260705_173322_758173_s15.mp3,synth,340,15,2.83,-19.4,0.0,0.57,0.354,,,pass
att_20260705_173326_172853_s15.mp3,synth,341,15,2.57,-19.6,0.0,0.58,0.321,,,pass
att_20260705_173329_098096_s16.mp3,synth,342,16,2.59,-19.7,0.0,0.58,0.324,,,pass
att_20260705_173331_765021_s16.mp3,synth,343,16,2.28,-19.6,0.0,0.64,0.285,,,pass
att_20260705_173334_553353_s16.mp3,synth,344,16,2.62,-19.8,0.0,0.62,0.328,,,pass
att_20260705_173337_470251_s17.mp3,synth,345,17,2.28,-21.3,0.0,0.55,0.38,,,pass
att_20260705_173339_989022_s17.mp3,synth,346,17,2.09,-21.3,0.0,0.6,0.348,,,pass
att_20260705_173343_222428_s17.mp3,synth,347,17,2.28,-21.2,0.0,0.55,0.38,,,pass
att_20260705_173346_413379_s18.mp3,synth,348,18,2.9,-20.3,0.0,0.64,0.322,,,pass
att_20260705_173349_457520_s18.mp3,synth,349,18,3.07,-20.1,0.0,0.67,0.341,,,pass
att_20260705_173352_080949_s18.mp3,synth,350,18,2.81,-20.5,0.0,0.64,0.312,,,pass
att_20260705_173355_122986_s19.mp3,synth,351,19,2.45,-18.6,0.0,0.58,0.306,,,pass
att_20260705_173407_910366_s19.mp3,synth,352,19,2.42,-18.5,0.0,0.58,0.302,,,pass
att_20260705_173411_482417_s19.mp3,synth,353,19,2.81,-19.3,0.0,0.57,0.351,,,pass
att_20260705_173424_802583_s20.mp3,synth,354,20,2.62,-17.9,0.0,0.62,0.291,,,pass
att_20260705_173428_904138_s20.mp3,synth,355,20,3.0,-17.8,0.0,0.6,0.333,,,pass
att_20260705_173433_402849_s20.mp3,synth,356,20,2.62,-18.2,0.0,0.62,0.291,,,pass
att_20260705_173438_464341_s21.mp3,synth,357,21,2.95,-17.6,0.0,0.64,0.328,,,pass
att_20260705_173442_887481_s21.mp3,synth,358,21,2.57,-17.6,0.0,0.67,0.286,,,pass
att_20260705_173446_939919_s21.mp3,synth,359,21,2.83,-17.8,0.0,0.64,0.314,,,pass
att_20260705_173450_770911_s22.mp3,synth,360,22,2.47,-20.4,0.0,0.58,0.353,duplicate_exact,att_20260704_223943_307406_s22.mp3,fail
att_20260705_173454_812132_s22.mp3,synth,361,22,2.74,-20.4,0.0,0.62,0.391,,,pass
att_20260705_173458_826692_s22.mp3,synth,362,22,2.71,-20.8,0.0,0.62,0.387,,,pass
