file,origin,attempt_id,sentence_id,duration_s,rms_dbfs,clip_ratio,active_ratio,sec_per_syl,flags,flags_dup_of,verdict
att_20260705_174250_164527_s10.mp3,synth,523,10,2.09,-21.8,0.0,0.6,0.418,,,pass
att_20260705_174252_796425_s10.mp3,synth,524,10,1.68,-22.5,0.0,0.88,0.336,,,pass
att_20260705_174255_606024_s11.mp3,synth,525,11,2.57,-18.8,0.0,0.75,0.321,,,pass
att_20260705_174258_445866_s11.mp3,synth,526,11,2.23,-18.8,0.0,0.73,0.279,,,pass
att_20260705_174301_323731_s11.mp3,synth,527,11,2.14,-18.8,0.0,0.7,0.268,,,pass
att_20260705_174304_436629_s12.mp3,synth,528,12,2.26,-18.6,0.0,0.73,0.251,,,pass
att_20260705_174307_665039_s12.mp3,synth,529,12,2.57,-18.6,0.0,0.75,0.286,,,pass
att_20260705_174311_469272_s12.mp3,synth,530,12,2.16,-18.6,0.0,0.7,0.24,,,pass
att_20260705_174314_746414_s13.mp3,synth,531,13,2.14,-19.7,0.0,0.8,0.306,,,pass
att_20260705_174317_646237_s13.mp3,synth,532,13,2.26,-20.2,0.0,0.82,0.323,,,pass
att_20260705_174320_416598_s13.mp3,synth,533,13,2.11,-19.7,0.0,0.8,0.301,,,pass
att_20260705_174323_588818_s14.mp3,synth,534,14,2.52,-18.9,0.0,0.75,0.252,,,pass
att_20260705_174326_644901_s14.mp3,synth,535,14,2.54,-19.0,0.0,0.75,0.254,,,pass
att_20260705_174330_508676_s14.mp3,synth,536,14,2.74,-18.7,0.0,0.77,0.274,,,pass
att_20260705_174334_564574_s15.mp3,synth,537,15,2.35,-19.0,0.0,0.82,0.294,,,pass
att_20260705_174337_967265_s15.mp3,synth,538,15,2.47,-18.7,0.0,0.75,0.309,,,pass
att_20260705_174341_240529_s15.mp3,synth,539,15,2.18,-18.7,0.0,0.8,0.273,,,pass
att_20260705_174344_706227_s16.mp3,synth,540,16,2.21,-19.6,0.0,0.73,0.276,,,pass
att_20260705_174347_968968_s16.mp3,synth,541,16,2.28,-19.3,0.0,0.73,0.285,,,pass
att_20260705_174351_828253_s16.mp3,synth,542,16,2.38,-19.6,0.0,0.82,0.297,,,pass
att_20260705_174354_825257_s17.mp3,synth,543,17,1.9,-19.9,0.0,0.78,0.317,,,pass
att_20260705_174358_109004_s17.mp3,synth,544,17,1.66,-19.9,0.0,0.75,0.277,,,pass
att_20260705_174401_172057_s17.mp3,synth,545,17,1.85,-19.8,0.0,0.67,0.308,,,pass
att_20260705_174404_417026_s18.mp3,synth,546,18,2.95,-19.6,0.0,0.79,0.328,,,pass
att_20260705_174408_010336_s18.mp3,synth,547,18,2.69,-19.8,0.0,0.77,0.299,,,pass
att_20260705_174412_069928_s18.mp3,synth,548,18,2.83,-19.7,0.0,0.71,0.314,,,pass
att_20260705_174415_513519_s19.mp3,synth,549,19,1.99,-18.8,0.0,0.89,0.249,,,pass
att_20260705_174418_718176_s19.mp3,synth,550,19,2.42,-18.6,0.0,0.75,0.302,,,pass
att_20260705_174422_351319_s19.mp3,synth,551,19,2.54,-19.2,0.0,0.75,0.318,,,pass
att_20260705_174425_746363_s20.mp3,synth,552,20,2.57,-18.6,0.0,0.75,0.286,,,pass
att_20260705_174429_252859_s20.mp3,synth,553,20,2.5,-18.8,0.0,0.75,0.278,,,pass
att_20260705_174432_899175_s20.mp3,synth,554,20,2.42,-18.9,0.0,0.75,0.269,,,pass
att_20260705_174436_234506_s21.mp3,synth,555,21,2.26,-18.2,0.0,0.82,0.251,,,pass
att_20260705_174439_407572_s21.mp3,synth,556,21,2.52,-18.1,0.0,0.83,0.28,,,pass
att_20260705_174442_711494_s21.mp3,synth,557,21,2.5,-18.4,0.0,0.75,0.278,,,pass
att_20260705_174446_164035_s22.mp3,synth,558,22,2.18,-18.8,0.0,0.9,0.311,,,pass
att_20260705_174448_958332_s22.mp3,synth,559,22,2.16,-18.9,0.0,0.9,0.309,,,pass
att_20260705_174451_940772_s22.mp3,synth,560,22,2.45,-19.1,0.0,0.75,0.35,,,pass
att_20260705_174455_331435_s23.mp3,synth,561,23,2.3,-19.5,0.0,0.82,0.287,,,pass
att_20260705_174458_310073_s23.mp3,synth,562,23,2.06,-19.1,0.0,0.9,0.258,,,pass
att_20260705_174503_538309_s23.mp3,synth,563,23,2.33,-19.4,0.0,0.82,0.291,,,pass
att_20260705_174506_868578_s24.mp3,synth,564,24,2.02,-19.6,0.0,0.7,0.289,,,pass
att_20260705_174509_708285_s24.mp3,synth,565,24,2.06,-19.6,0.0,0.8,0.294,,,pass
att_20260705_174513_069188_s24.mp3,synth,566,24,2.18,-19.5,0.0,0.7,0.311,,,pass
att_20260705_174516_226353_s25.mp3,synth,567,25,2.45,-19.4,0.0,0.75,0.306,,,pass
att_20260705_174519_606779_s25.mp3,synth,568,25,2.42,-18.9,0.0,0.83,0.302,,,pass
att_20260705_174522_591694_s25.mp3,synth,569,25,2.5,-19.3,0.0,0.83,0.312,,,pass
att_20260705_174526_270365_s26.mp3,synth,570,26,1.7,-20.8,0.0,0.75,0.34,,,pass
att_20260705_174529_920441_s26.mp3,synth,571,26,1.92,-20.4,0.0,0.67,0.384,,,pass
att_20260705_174533_047504_s26.mp3,synth,572,26,1.7,-21.2,0.0,0.75,0.34,,,pass
att_20260705_174536_925886_s27.mp3,synth,573,27,2.47,-20.0,0.0,0.75,0.353,,,pass
att_20260705_174540_051590_s27.mp3,synth,574,27,2.4,-20.0,0.0,0.67,0.343,,,pass
att_20260705_174543_051730_s27.mp3,synth,575,27,2.23,-20.4,0.0,0.73,0.319,,,pass
att_20260705_174546_043663_s28.mp3,synth,576,28,2.47,-19.2,0.0,0.67,0.353,,,pass
att_20260705_174549_206615_s28.mp3,synth,577,28,2.06,-19.1,0.0,0.7,0.294,,,pass
att_20260705_174552_351480_s28.mp3,synth,578,28,2.21,-19.4,0.0,0.73,0.316,,,pass
att_20260705_174555_439787_s29.mp3,synth,579,29,1.92,-19.8,0.0,0.67,0.274,,,pass
att_20260705_174558_650152_s29.mp3,synth,580,29,2.18,-19.8,0.0,0.7,0.311,,,pass
att_20260705_174601_694616_s29.mp3,synth,581,29,1.9,-19.5,0.0,0.67,0.271,,,pass
att_20260705_174604_965307_s30.mp3,synth,582,30,2.23,-19.2,0.0,0.64,0.319,,,pass
att_20260705_174607_860778_s30.mp3,synth,583,30,1.97,-19.1,0.0,0.78,0.281,,,pass
att_20260705_174611_043961_s30.mp3,synth,584,30,2.3,-19.2,0.0,0.73,0.329,,,pass
att_20260705_174614_307548_s31.mp3,synth,585,31,2.42,-19.0,0.0,0.67,0.346,,,pass
att_20260705_174617_155259_s31.mp3,synth,586,31,2.06,-18.6,0.0,0.7,0.294,,,pass
att_20260705_174620_176334_s31.mp3,synth,587,31,2.09,-19.2,0.0,0.7,0.299,,,pass
att_20260705_174623_492981_s32.mp3,synth,588,32,2.16,-20.5,0.0,0.8,0.309,,,pass
att_20260705_174626_790877_s32.mp3,synth,589,32,2.35,-20.2,0.0,0.82,0.336,,,pass
att_20260705_174629_754241_s32.mp3,synth,590,32,2.38,-20.5,0.0,0.82,0.34,,,pass
att_20260705_174633_166791_s33.mp3,synth,591,33,2.26,-19.1,0.0,0.82,0.251,,,pass
att_20260705_174636_483952_s33.mp3,synth,592,33,2.3,-19.3,0.0,0.91,0.256,,,pass
att_20260705_174640_668807_s33.mp3,synth,593,33,2.21,-18.9,0.0,0.82,0.246,,,pass
normal_01.wav,week1,,,4.25,-17.3,0.0001,0.48,0.472,duplicate_exact,att_20260704_123959_567213_s1.wav,fail
normal_02.wav,week1,,,2.72,-18.0,0.0002,0.46,0.544,duplicate_exact,att_20260704_124004_546749_s2.wav,fail
normal_03.wav,week1,,,3.1,-19.9,0.0,0.53,0.517,duplicate_exact,att_20260704_124006_240447_s3.wav,fail
normal_04.wav,week1,,,2.85,-17.4,0.0002,0.57,0.475,duplicate_exact,att_20260704_124008_116977_s4.wav,fail
normal_05.wav,week1,,,2.57,-19.4,0.0,0.5,0.514,duplicate_exact,att_20260704_124009_964056_s5.wav,fail
normal_06.wav,week1,,,2.85,-19.8,0.0,0.5,0.57,duplicate_exact,att_20260704_124011_788246_s6.wav,fail
normal_07.wav,week1,,,3.67,-19.1,0.0001,0.44,0.524,duplicate_exact,att_20260704_124013_570594_s7.wav,fail
normal_08.wav,week1,,,3.5,-19.5,0.0,0.47,0.583,duplicate_exact,att_20260704_124015_449431_s8.wav,fail
normal_09.wav,week1,,,4.47,-19.2,0.0,0.41,0.639,duplicate_exact,att_20260704_124017_378172_s9.wav,fail
normal_10.wav,week1,,,3.2,-20.7,0.0001,0.47,0.64,duplicate_exact,att_20260704_124019_262948_s10.wav,fail
wrong_01.wav,week1,,,3.75,-20.2,0.0,0.67,0.417,duplicate_exact,att_20260704_124021_098954_s1.wav,fail
wrong_02.wav,week1,,,3.17,-20.7,0.0001,0.47,0.634,duplicate_exact,att_20260704_124023_039290_s2.wav,fail
wrong_03.wav,week1,,,3.15,-19.9,0.0,0.67,0.525,duplicate_exact,att_20260704_124024_924517_s3.wav,fail
wrong_04.wav,week1,,,3.55,-18.9,0.0001,0.53,0.507,duplicate_exact,att_20260704_124026_810299_s4.wav,fail
wrong_05.wav,week1,,,2.97,-21.2,0.0,0.57,0.594,duplicate_exact,att_20260704_124028_725788_s5.wav,fail
wrong_06.wav,week1,,,3.17,-20.2,0.0,0.47,0.634,duplicate_exact,att_20260704_124030_626719_s6.wav,fail
wrong_07.wav,week1,,,3.72,-19.5,0.0,0.5,0.531,duplicate_exact,att_20260704_124032_510554_s7.wav,fail
wrong_08.wav,week1,,,3.6,-20.8,0.0001,0.53,0.6,duplicate_exact,att_20260704_124034_495315_s8.wav,fail
wrong_09.wav,week1,,,3.42,-19.8,0.0,0.59,0.489,duplicate_exact,att_20260704_124036_536457_s9.wav,fail
wrong_10.wav,week1,,,3.7,-22.1,0.0001,0.39,0.74,duplicate_exact,att_20260704_124038_592618_s10.wav,fail
